,CID
0,180
1,262
2,264
3,323
4,702
5,750
6,753
7,962
8,1031
9,3102
10,3314
11,5862
12,5962
13,6274
14,6322
15,6506
16,6544
17,6561
18,6669
19,7092
20,7137
21,7302
22,7476
23,7559
24,7657
25,7770
26,7793
27,7797
28,8025
29,8049
30,8094
31,8419
32,8438
33,8468
34,8815
35,8878
36,9012
37,10886
38,11567
39,12020
40,12265
41,12377
42,15654
43,16537
44,17898
45,18467
46,21363
47,27440
48,31219
49,31276
50,31283
51,60998
52,61523
53,62089
54,62351
55,62465
56,251531
57,440917
58,637758
59,853433
60,1549025
61,2733294
62,5281167
63,5281168
64,5318599
65,5352837
66,5364231
67,5371102
68,10857465
