CID,MEAN_INTENSITY/STRENGTH,STD_INTENSITY/STRENGTH,MEAN_VALENCE/PLEASANTNESS,STD_VALENCE/PLEASANTNESS,MEAN_BAKERY,STD_BAKERY,MEAN_SWEET,STD_SWEET,MEAN_FRUIT,STD_FRUIT,MEAN_FISH,STD_FISH,MEAN_GARLIC,STD_GARLIC,MEAN_SPICES,STD_SPICES,MEAN_COLD,STD_COLD,MEAN_SOUR,STD_SOUR,MEAN_BURNT,STD_BURNT,MEAN_ACID,STD_ACID,MEAN_WARM,STD_WARM,MEAN_MUSKY,STD_MUSKY,MEAN_SWEATY,STD_SWEATY,MEAN_AMMONIA/URINOUS,STD_AMMONIA/URINOUS,MEAN_DECAYED,STD_DECAYED,MEAN_WOOD,STD_WOOD,MEAN_GRASS,STD_GRASS,MEAN_FLOWER,STD_FLOWER,MEAN_CHEMICAL,STD_CHEMICAL
243,16.6327,25.561,34.0769,22.4694,3.2308,14.0551,2.6538,5.4987,0.7692,2.8469,2.1923,8.8995,3.7308,11.7764,5.0769,16.6323,4.6154,11.9401,16.5385,27.1945,8.3077,24.3192,3.6154,11.5554,7.9615,21.5508,8.5,19.1358,7.9231,19.817,3.0769,9.5955,8.6923,25.0659,1.7308,6.6787,1.1923,3.5555,3.4615,16.4687,10.3077,19.9214
454,65.5102,27.7422,32.0833,22.4061,0.0208,0.1443,3.4792,12.4336,3.125,14.9988,0.0208,0.1443,3.3542,12.5435,3.9583,13.9192,5.8958,19.2589,11.2917,21.9671,5.1875,17.0876,6.4375,14.9138,4.9375,17.3517,14.5417,27.6521,8.2083,21.7979,3.6667,10.058,1.7292,5.3861,5.4792,14.9039,3.6875,14.7564,3.3125,16.5274,27.1042,33.4977
679,18.4286,28.3012,35.7941,23.343,2.1176,10.8677,9.0882,20.9203,1,3.8769,3.2941,14.8273,4.0882,15.1124,6,14.0281,2.1765,10.0739,16.9706,26.4076,5.6176,18.7018,5.2941,14.768,5.1765,17.2951,10.9706,25.1016,6.5294,19.3504,2.7647,11.9976,4.0882,14.6956,1,5.831,3.7353,11.1064,4.4118,17.9277,7.5294,18.5378
1030,3.898,9.7345,48.1538,25.0307,3.5769,12.248,6.8462,18.8227,2.2308,10.0172,0.0385,0.1961,2.3077,9.7232,10,23.4572,5.3846,17.4702,6.2692,16.0264,4.5385,13.2973,7.6923,18.3581,1.1154,5.4869,3.3462,9.2647,0.3846,1.7681,2.5385,12.1432,4.6923,16.9512,2.8462,10.612,9.3462,24.0082,7.7692,22.9927,7.2308,16.4203
1060,67.898,26.3195,40.383,27.8978,8.4681,21.9741,19.7234,31.1223,0.0213,0.1459,1.2766,6.0888,1.4468,6.9276,6.3191,16.8292,4.4043,13.774,9.8298,22.7876,15.3617,28.2685,5.9149,15.0591,7.1064,17.0756,9.7234,20.3199,7.3617,21.2454,4.7447,15.0065,2.0426,7.5899,6.3404,17.9604,0.0213,0.1459,0.6596,4.3752,14.383,23.5571
2682,21.9592,27.3275,42.9773,24.156,13.1364,26.0675,8.5227,20.2375,9.1591,19.5138,0.0682,0.3339,1.5682,9.3669,3.75,15.9127,3.1136,10.7167,5.2955,18.4537,7.2273,18.0875,10,21.0614,1.8636,8.1028,11.4773,24.322,12.9091,28.4865,2.5227,11.6509,0.6591,3.7846,5.0455,18.738,5.3409,15.3289,1.25,6.2918,1.9091,8.6826
6137,41.2653,36.433,18.4255,21.1945,2.7447,14.8096,2.9787,9.7256,1.0851,7.2915,6.5106,15.1412,9.6809,19.7518,4.0638,11.2953,1.8936,10.1387,24.2979,36.3533,10.2553,24.3654,5.766,14.303,4.3191,13.9831,12.1064,24.745,9.5957,19.5456,5,16.2213,25.5532,35.2252,1.8298,9.3398,2.0851,9.9582,0.1915,1.1729,9.1489,23.0971
6386,11.8571,24.2805,46.2326,25.1461,0,0,6.5581,14.5099,2.2326,10.5059,0,0,0,0,2.2093,9.8888,9.5349,24.197,2.7907,10.9099,1.814,7.8808,14.4651,28.8802,3.8605,12.2719,3.0233,9.1664,1.186,4.2159,12.3023,27.0991,5.4651,17.4484,6.5581,20.5824,10.2791,28.6849,3.7442,14.9588,37.186,39.6774
6826,39,31.4059,63.6744,23.4467,3.6512,13.1092,30,32.713,13.7209,27.2426,0,0,0.3953,2.5925,3.3488,12.2161,5.7209,20.5094,2.8605,12.3916,2.2093,11.7809,0.6977,2.9963,5.3488,15.8037,7.9302,20.3779,0.093,0.61,1.0233,6.7099,1.2558,8.2349,2.4884,7.3205,1.6977,6.4014,20.2326,36.6657,5.8372,16.6103
6989,70.8367,23.3322,42.5625,26.4373,1,4.9422,2.8333,8.8782,0.5417,3.6083,0.0208,0.1443,0.8542,3.3262,20.4583,35.2172,4.4167,16.9088,5.6875,17.2246,5.5417,19.8633,4.8125,14.6428,10.3542,24.0783,5.5625,13.3128,0.0208,0.1443,3.8542,14.1917,3.4583,15.2552,4.3333,15.2222,1.9792,11.4418,0.6875,3.7255,29.875,35.6183
7047,79.5306,21.3738,21.2917,23.1351,0.0208,0.1443,6.5833,19.9626,2.9583,14.5441,2.5417,11.2571,4.3333,17.3271,5.5417,15.4299,1.7708,6.4222,10.3333,24.726,13.9792,25.8074,17.75,28.1262,5.375,18.3878,11.7083,25.9205,2.625,11.7013,11.6875,27.2983,5.25,16.284,4.4167,12.9366,0.375,2.4549,0.375,2.4549,46.8958,36.6242
7409,41.4082,33.1392,50.45,26.6938,0.35,1.6878,13.025,26.3502,6.7,21.3976,0.025,0.1581,1.575,9.9612,3.2,8.8758,2.8,15.8085,3.55,10.7201,5.075,14.1392,8.775,20.716,3.7,14.451,12.425,28.4406,4.1,14.787,0.6,3.4774,3.65,14.4161,5,16.2022,9.225,23.8128,8.7,25.0192,16.75,26.6591
7601,30.2041,33.9288,55.0571,23.4658,1.0286,6.0851,19.9714,28.1043,7.1429,19.4757,0.9143,5.409,2.4286,13.2027,1.2,5.5083,4.9429,16.9601,5.1429,17.697,2.6286,9.1236,2.7143,8.6995,7.4286,16.9381,7.3429,18.6815,3.6571,13.2175,5.1143,16.3163,1.8286,10.1445,3.3429,12.192,4.1714,13.8149,9.3143,21.5199,12.7714,24.7696
7632,30.449,29.9479,63.6154,20.0324,1,4.0911,21.5641,26.3626,1.4872,5.0569,0.1795,1.1209,0.4359,2.7222,7.2564,17.9483,2.8462,10.671,4.7179,16.4444,2.8205,8.7536,4.8718,14.2297,7.359,15.8753,4.5897,14.5724,1.5897,6.8584,2.3846,9.3573,1.8718,8.1634,6.7692,16.3215,5.8974,13.9789,28.2564,35.2097,10.2564,18.6261
7792,74.0612,23.3572,41.1875,27.8061,0,0,13,24.5357,7.7292,19.2914,0,0,0.0208,0.1443,4.5417,13.9634,8.1875,19.4867,4.1458,13.767,0.2917,2.0207,7.2292,20.9409,4.5625,16.5824,4.1875,15.9035,1.9583,8.1318,10.1667,26.6421,4.0833,16.5038,4.3958,15.1275,2.75,14.6498,12.5417,26.8098,37.0208,33.4375
7820,50.9184,30.7888,49.5349,26.562,2.2791,13.3333,22.9767,32.9635,11.6512,25.7524,0,0,0.7442,4.88,2.1628,10.2398,3.3953,11.6274,5.3721,16.2466,3.3953,15.0161,7.6977,15.6958,5.7907,16.8827,2.9767,13.6547,2.5349,13.7223,5.1628,12.0691,2.6047,13.7445,0.2093,1.3725,3.3953,12.1148,5.6279,17.6609,31.0465,33.9264
7826,43.2857,34.4855,59.0244,25.7298,2.6585,11.9051,29.1951,34.1857,16.7561,29.3162,0,0,2.4634,11.1402,3.1707,10.6628,7.2927,20.482,5.9024,19.6403,4.6098,14.9447,3.0732,9.5979,4.3659,17.7845,3.6341,15.973,3.439,16.2466,1.8049,8.3163,1.561,7.3282,3.0976,15.8553,9.1463,21.9358,12.1951,25.0362,8.7805,20.9243
8038,78,20.2258,57.551,28.4832,1.551,7.583,30.0408,36.4211,16.6939,29.0762,0.2449,1.2671,0.1429,1,1.3878,6.5632,6.898,21.5805,2.5714,8.9745,1.3673,6.1769,12.8367,24.0593,1.3673,5.0896,1.4286,9.7104,0.0612,0.3168,7.1224,21.1971,2.0204,11.8875,0.1224,0.8571,0.0204,0.1429,3.4286,14.1863,36.9388,37.3449
8048,11.1837,20.9868,59.4894,24.4841,1.8085,11.1192,26.6383,30.2514,16.3191,28.928,0.2128,1.3177,0.7021,4.6668,6.1489,19.6391,4.4255,11.8299,8,16.2267,1.617,7.2278,4.9574,15.1585,5.8936,15.0856,3.4468,14.9081,0.2553,1.608,0.7447,3.0678,3.5957,15.2567,2.0638,9.3562,1.5319,8.5207,11.5745,24.6151,9.1277,19.3297
8051,69.2653,25.5757,53.7447,25.0013,3.7447,15.6337,24.4468,31.7715,15.4043,32.5868,0.0213,0.1459,1.1915,5.2239,4,16.0041,4.7872,15.3325,8.5106,21.5143,1.6596,7.8582,9.9362,20.5113,8.9362,20.7568,5.617,16.8039,1.9362,7.7891,2.8936,14.3742,7.3617,20.3004,1.6809,11.3752,1.5106,5.875,5.617,15.7267,25.5532,34.9053
8078,36.6735,36.7805,47.9512,27.5299,2.878,12.3049,10.3902,22.1279,2.5854,15.6141,0.0244,0.1562,0.0244,0.1562,1.1707,5.9452,9.0488,26.3077,6.9024,16.9053,1.9024,8.4965,9.7561,22.1312,7.1951,17.9544,0.0244,0.1562,3.0732,15.2371,9.1463,23.3126,4.7317,19.286,0.0244,0.1562,2.3659,7.6934,10.3415,24.3101,41.561,40.9256
8137,69.0408,24.9432,67.0217,25.709,5.587,15.5314,26.7391,31.4144,32.1087,37.876,0.0217,0.1474,2.1087,9.9291,1.587,8.2451,3.8696,11.8521,7.3043,18.9172,1.1739,5.543,0.8043,5.3067,5.6957,17.9454,3.3696,12.0782,0.8696,5.7488,1.4783,6.2672,0.1957,1.046,1.2391,5.7433,10.1739,24.9616,10.5,18.8618,8.1739,21.9052
8159,24.0816,31.0207,55.0417,31.0634,0.5208,2.8208,27.0625,34.3508,24.2292,34.7123,0.2917,1.8789,2.2083,9.426,3.9167,10.2081,10.2708,22.3128,9.7708,21.8926,2.2083,7.3715,10.5208,20.2632,6.0417,18.7559,4.4583,16.7382,2.7083,14.1796,9.9583,25.6075,4.9583,18.7105,1.0417,5.8889,3.0208,12.0451,8.5208,19.0754,29.75,33.3189
8163,22.1429,27.3945,44.0638,31.6354,0.0213,0.1459,16.7234,28.5647,13.8085,29.0821,0.617,4.0837,3.1702,12.1142,9.3617,23.0438,6.8298,22.2928,9.7021,23.734,1.8298,7.3642,11.1915,23.0733,7.2766,21.0834,8.7021,24.5072,5.4894,21.6663,8.9149,24.8743,4,16.7825,1.3191,8.8958,3.7234,14.1017,8.0426,19.4243,25.617,32.1089
8175,51.8367,31.1163,30,23.5905,1.0417,6.925,4.3333,11.2653,1.9792,9.0565,1.1875,6.5935,1.2917,8.3665,2.5208,14.604,3,11.3325,10.5,23.0328,6.8542,21.3242,9.7083,22.1609,4.0417,15.2287,12.1042,28.6551,1.6875,6.5693,4.5417,14.4869,1.6458,6.1661,10.1458,26.3995,0.4583,1.688,1.4583,6.6715,28.4583,32.1188
