,CID
0,243
1,454
2,679
3,1030
4,1060
5,2682
6,6137
7,6386
8,6826
9,6989
10,7047
11,7409
12,7601
13,7632
14,7792
15,7820
16,7826
17,8038
18,8048
19,8051
20,8078
21,8137
22,8159
23,8163
24,8175
25,8180
26,8205
27,8294
28,8452
29,8467
30,8615
31,9024
32,10722
33,11124
34,11419
35,12206
36,12348
37,12748
38,13187
39,13204
40,13216
41,13436
42,14328
43,15606
44,22386
45,24020
46,24473
47,31210
48,31266
49,33032
50,61024
51,61151
52,61155
53,61177
54,61252
55,61771
56,62572
57,520108
58,638024
59,641256
60,778574
61,1549778
62,1550470
63,5352539
64,5355850
65,5363233
66,5367698
67,6114390
68,16220109
