CID,INTENSITY/STRENGTH,VALENCE/PLEASANTNESS,BAKERY,SWEET,FRUIT,FISH,GARLIC,SPICES,COLD,SOUR,BURNT,ACID,WARM,MUSKY,SWEATY,AMMONIA/URINOUS,DECAYED,WOOD,GRASS,FLOWER,CHEMICAL
126,7,60,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,55,71,0,9,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,7
126,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
126,29,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0
126,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,0,49,0,0,0,0,0,0,0,26,0,0,0,37,0,31,0,0,0,0,0
126,6,11,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,8,24
126,46,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,0,58,0,11,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,26,0
126,66,49,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0
126,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,10,96,0,0,0,0
126,78,48,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0
126,0,77,0,66,72,0,0,0,100,22,0,0,0,0,0,0,52,0,0,96,63
126,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
126,36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
126,76,31,11,22,36,0,0,0,0,24,0,0,0,0,0,0,25,0,0,0,27
126,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,13,22,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,11,0,0
126,58,16,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0
126,57,40,0,0,0,0,0,0,0,28,0,0,0,0,13,0,0,0,0,0,25
126,5,80,0,57,8,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,53
126,30,38,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
126,44,47,0,16,0,0,0,0,0,0,25,0,0,27,0,0,0,0,0,0,14
126,24,39,14,43,0,0,70,19,0,33,36,0,0,35,0,29,0,26,0,0,72
126,59,44,0,14,2,0,0,0,20,0,0,14,0,0,0,12,0,0,0,0,39
126,17,73,0,77,0,0,0,0,12,16,0,0,0,0,0,0,0,0,0,24,78
126,26,72,0,33,0,0,0,35,0,0,0,0,0,0,0,0,0,31,43,70,0
126,8,15,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,0,37,0,0,0,0,0,0,0,4,0,0,0,30,9,0,44,0,0,0,47
126,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,24,19,0,0,0,12,0,0,0,57,11,0,0,25,0,0,0,0,0,0,0
126,83,19,0,100,100,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0
126,0,47,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,0,5,0,10,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,45
